listing_id,area_sqft,bedrooms,age_years,location,lot_size,price
79,1233.7,6,10,Downtown,2515.2,374530.68
80,1618.4,5,9,Suburb,2015.6,357305.98
81,2895.0,4,77,Downtown,,561256.22
82,1342.3,4,39,Suburb,3415.7,247419.05
83,1074.0,3,36,Downtown,2425.1,292668.16
84,588.7,5,25,Suburb,1509.8,184945.77
85,1564.2,3,13,Suburb,3230.8,317581.11
86,1631.1,5,76,Downtown,2650.0,340056.91
87,1864.1,4,37,Suburb,5423.6,355194.19
88,907.6,5,44,Suburb,1220.7,234555.68
89,1317.9,4,36,Downtown,2222.0,308662.04
90,414.8,6,13,Suburb,651.1,196337.76
91,1876.1,4,12,Downtown,4309.2,417667.26
92,833.6,5,58,Rural,1695.6,165197.0
93,400.0,5,59,Suburb,891.9,127090.74
94,2471.4,5,62,Suburb,5043.8,512776.17
95,2078.4,4,50,Suburb,4781.0,394633.27
96,1986.0,2,52,Rural,,312821.8
97,1985.6,5,57,Rural,3706.7,325821.53
98,1154.1,2,52,Suburb,2522.7,239962.96
99,2419.5,3,67,Suburb,5550.2,437164.66
100,1146.4,6,8,Rural,2278.8,257875.87
101,2922.3,5,70,Suburb,3779.1,540854.59
102,1910.9,5,49,Suburb,4700.7,396553.01
103,668.8,2,79,Rural,1406.0,73787.52
104,2296.8,3,51,Rural,6741.2,436150.45
105,2959.4,3,56,Downtown,5381.2,547653.35
106,1622.8,2,35,Suburb,3934.3,337868.81
107,2415.4,2,78,Downtown,3082.2,463289.02
108,1648.5,1,67,Rural,4013.6,245861.14
109,1399.0,6,79,Downtown,1848.0,333561.06
110,400.0,2,13,Suburb,922.1,111561.54
111,2517.7,4,15,Suburb,5898.5,538480.02
112,1508.8,5,20,Downtown,3747.2,409448.21
113,2004.0,6,31,Suburb,4211.1,394106.27
114,1095.8,5,48,Suburb,2270.6,241838.78
115,1230.8,4,38,Downtown,1739.8,322303.68
116,2446.7,6,32,Suburb,4046.6,523700.77
117,1544.4,6,37,Suburb,4094.9,347546.04
118,1535.6,5,78,Suburb,4486.0,293673.22
119,1019.9,5,7,Rural,1838.2,265732.54
120,1902.5,6,65,Rural,4125.9,325206.03
121,2244.0,6,31,Downtown,3840.4,598797.11
122,1500.3,6,58,Suburb,2562.3,303815.93
123,1664.2,2,63,Downtown,4372.4,327628.34
124,1044.1,3,41,Rural,2821.4,208746.57
125,2619.1,6,40,Rural,6053.4,537303.7
126,1405.7,3,63,Suburb,3886.6,297150.2
127,1683.8,2,53,Downtown,2035.0,410045.2
128,2789.0,4,72,Rural,,498398.19
129,1641.4,5,55,Suburb,2274.6,337582.45
130,845.1,3,4,Suburb,1047.9,224918.32
131,1221.2,4,50,Suburb,1719.7,252570.36
132,1562.3,1,32,Rural,,249085.0
133,2849.8,3,1,Suburb,6192.8,622865.65
134,1912.9,5,52,Suburb,2497.1,438287.13
135,1643.4,1,30,Downtown,4671.5,370928.86
136,2277.5,3,40,Rural,,403427.84
137,2563.8,1,59,Suburb,7612.5,436556.16
138,1322.9,1,79,Downtown,3281.0,221807.82
139,2642.6,1,29,Suburb,4393.1,472526.86
140,2296.8,3,29,Downtown,3594.0,498814.42
141,2050.5,4,77,Suburb,5476.2,377185.52
142,400.0,4,23,Suburb,894.1,101224.93
143,1898.7,4,76,Downtown,,358077.55
144,2620.8,5,55,Downtown,4415.2,590499.21
145,1616.0,1,40,Rural,2300.7,315079.08
146,3173.6,1,77,Suburb,7195.6,484330.99
147,1825.9,1,78,Suburb,5120.6,296618.52
148,1168.6,6,75,Rural,2176.3,238835.35
149,2139.7,1,16,Downtown,2671.3,440108.97
150,1959.6,1,79,Suburb,5660.8,283436.19
151,2285.0,4,38,Downtown,6158.1,516082.78
152,1648.5,1,6,Rural,2079.4,296836.67
153,2569.1,5,74,Rural,4381.7,438052.45
154,1447.5,5,62,Suburb,2734.9,340838.03
155,1862.8,6,7,Suburb,5537.3,473046.69
156,1030.4,5,1,Suburb,1296.4,293032.37
157,1300.6,3,40,Suburb,3891.4,262378.09
158,1906.6,5,79,Suburb,4421.6,353134.35
159,1387.2,5,33,Downtown,2662.8,394963.66
160,1512.3,1,70,Suburb,,244899.06
161,1659.4,2,31,Suburb,3975.6,366753.2
162,1937.4,4,72,Suburb,3410.5,397191.6
163,2247.9,1,34,Suburb,3909.0,399473.58
164,2249.2,5,65,Suburb,5905.0,458079.41
165,2404.1,4,48,Suburb,4286.1,511890.01
166,1909.1,5,46,Rural,5075.4,381083.77
167,1455.4,2,73,Downtown,2635.8,284342.39
168,825.5,2,71,Suburb,2004.6,131777.56
169,1575.0,3,4,Suburb,1892.0,337017.66
170,1303.6,4,11,Suburb,2832.3,306822.03
171,686.1,1,11,Downtown,1368.2,217204.71
172,2783.9,3,29,Suburb,7264.7,531906.07
173,671.6,5,54,Suburb,1542.4,187157.01
174,2001.6,4,14,Downtown,4763.1,524465.0
175,2122.7,6,43,Suburb,3208.4,430534.77
176,1644.1,2,72,Suburb,,244806.35
177,3354.4,5,57,Downtown,9008.2,713934.3
178,1798.9,6,61,Rural,,342143.06
179,1321.7,1,67,Suburb,3149.8,232540.85
180,2854.5,2,65,Downtown,4814.3,551339.74
181,1301.1,2,65,Rural,2204.1,209084.2
182,915.5,5,37,Downtown,2006.4,257267.47
183,1176.3,2,25,Rural,,245089.67
184,1396.8,4,43,Suburb,1993.2,339173.31
185,1814.2,6,17,Downtown,5037.9,448624.02
186,1991.4,5,49,Downtown,4955.3,393077.05
187,862.7,3,49,Downtown,1334.2,224985.19
188,1999.1,2,14,Suburb,5754.2,388043.74
189,3143.1,1,4,Suburb,7007.8,611231.92
190,1352.5,6,35,Suburb,2766.7,316169.05
191,1706.5,5,47,Suburb,4702.2,370386.46
192,2209.3,5,37,Suburb,3062.4,532095.64
193,2519.0,2,49,Rural,3437.4,419451.1
194,1380.5,6,29,Downtown,4083.6,375706.61
195,1201.4,1,38,Downtown,1704.4,297996.15
196,1173.1,3,68,Suburb,2355.1,165987.68
197,2453.4,3,68,Rural,7255.9,440306.55
198,2334.1,4,17,Downtown,4125.3,527306.02
199,469.8,1,5,Rural,1347.6,53727.41
200,485.0,4,74,Downtown,724.3,136945.39
201,1033.7,3,1,Rural,2886.4,237217.91
202,873.7,4,26,Suburb,1050.5,237422.55
203,2035.7,3,74,Rural,4295.8,372781.69
204,1920.3,6,62,Suburb,5536.7,406178.23
205,2979.2,2,67,Suburb,7755.1,511808.06
206,2270.1,6,28,Suburb,5508.0,503114.34
207,1860.9,4,2,Downtown,3829.4,471103.21
208,2505.2,6,21,Downtown,,661708.63
209,1243.5,5,57,Suburb,3094.5,207098.07
210,935.8,1,10,Downtown,1393.4,308813.55
211,1806.8,3,46,Downtown,4500.5,433658.61
212,2358.5,2,18,Downtown,6271.7,536071.23
213,800.6,2,11,Downtown,1933.6,247976.64
214,2331.6,3,29,Rural,3788.2,416233.8
215,2310.1,4,33,Suburb,4398.1,439506.95
216,1481.7,6,4,Suburb,2342.8,323888.18
217,1889.9,3,47,Rural,3537.4,393423.53
218,1620.0,5,30,Downtown,3130.0,443342.39
219,1836.2,2,48,Rural,4861.4,332706.69
220,2278.7,4,31,Suburb,5801.0,472985.17
221,1297.4,6,16,Suburb,1968.2,270019.92
222,2420.4,1,38,Rural,6424.2,408283.95
223,2317.1,2,0,Suburb,5702.6,477134.24
224,2339.6,6,7,Downtown,4208.0,611954.64
225,586.5,3,5,Downtown,1319.7,201688.24
226,652.2,4,47,Suburb,910.2,163432.87
227,2208.5,2,19,Downtown,3309.4,490497.38
228,1429.5,2,69,Downtown,2396.7,312801.77
229,1365.8,5,25,Rural,3544.2,264288.46
230,1320.8,1,57,Rural,2023.5,211370.41
231,968.7,4,16,Suburb,1643.6,243066.12
232,1611.9,2,24,Suburb,3427.9,273024.67
233,1346.3,6,27,Suburb,,356890.15
234,1387.0,1,1,Suburb,2184.6,355189.24
235,2078.4,2,8,Rural,4453.2,369240.96
236,1065.9,2,25,Suburb,3194.3,258514.41
237,2472.0,5,31,Downtown,5223.1,542607.89
238,431.4,5,34,Downtown,1187.6,185229.26
239,3315.2,5,26,Rural,8985.4,685646.59
240,957.1,3,3,Suburb,1411.6,244236.76
241,2142.0,1,23,Rural,4485.7,422383.68
242,2343.1,2,4,Rural,4655.9,453463.83
243,1784.0,2,30,Suburb,4763.2,379586.53
244,2240.4,6,36,Downtown,5516.2,531409.32
245,1720.3,6,69,Suburb,4016.0,392920.17
246,711.5,5,4,Downtown,2001.9,327776.19
247,1996.7,3,63,Downtown,2788.6,450992.22
248,2484.6,3,15,Downtown,3511.8,547182.75
249,1449.7,1,10,Suburb,3005.9,286971.8
250,750.3,1,73,Suburb,1785.0,88273.66
251,1418.6,1,7,Suburb,3404.1,311394.26
252,1984.7,5,19,Rural,5454.5,418168.11
253,1970.6,2,44,Downtown,2989.1,413007.93
254,2461.0,2,3,Suburb,3418.1,523451.49
255,2126.9,4,6,Suburb,3888.9,442753.02
256,2095.9,2,38,Suburb,5131.3,451522.52
257,563.7,1,64,Suburb,981.2,112511.62
258,3147.2,6,20,Downtown,7886.4,758582.52
259,1816.4,1,29,Suburb,3962.6,326487.22
260,2313.4,1,69,Downtown,3979.7,432041.91
261,1574.9,6,78,Rural,3473.7,237783.27
262,1693.8,5,47,Suburb,3446.1,374338.15
263,1823.0,2,29,Rural,4961.5,298254.3
264,2749.3,6,36,Suburb,7272.1,605801.18
265,2713.7,5,43,Downtown,4385.8,607545.96
266,2164.9,6,69,Suburb,3444.2,454726.64
267,3000.8,5,5,Suburb,8169.2,593518.78
268,1546.1,4,29,Suburb,4217.2,317411.01
269,2104.5,5,13,Suburb,5795.0,466073.95
270,1509.3,5,42,Suburb,2823.2,348348.26
271,2580.4,4,14,Downtown,3688.2,557694.77
272,1811.0,2,35,Rural,3952.6,331934.26
273,2387.3,3,75,Suburb,6958.9,408939.4
274,2843.7,5,10,Rural,6414.6,589435.29
275,521.4,5,79,Rural,1267.7,80268.09
276,3118.0,1,1,Suburb,3909.2,597904.94
277,1985.1,3,51,Downtown,3848.3,453525.28
278,1594.9,3,65,Suburb,2420.6,330824.34
279,617.2,5,50,Suburb,831.0,153263.7
280,1605.3,4,64,Downtown,2559.7,407498.85
281,400.0,5,61,Downtown,687.3,143128.24
282,1845.0,6,23,Rural,3875.7,395225.04
283,1686.9,1,35,Suburb,3884.4,286780.34
284,2908.7,5,25,Suburb,6324.9,600934.19
285,1591.0,1,74,Downtown,2932.7,300204.07
286,2449.0,1,64,Suburb,3611.2,430089.89
287,2506.7,4,18,Rural,5243.8,504285.7
288,3057.2,3,0,Downtown,8613.5,653237.84
289,1640.2,3,72,Rural,4621.8,221357.47
290,2259.1,6,4,Downtown,6430.6,564036.79
291,860.3,4,1,Downtown,,310391.45
292,1112.2,5,25,Suburb,2483.1,278031.47
293,1625.2,4,47,Downtown,3466.8,366718.31
294,1778.8,4,62,Rural,2843.2,339537.28
295,1047.3,3,49,Downtown,2661.3,266168.84
296,1540.2,2,63,Downtown,3461.0,359735.8
297,2224.0,1,60,Suburb,4277.8,367475.09
298,1513.5,1,25,Downtown,,368024.29
299,1698.9,4,14,Downtown,2590.3,467823.27
300,1247.3,3,6,Suburb,,270400.42
301,2643.3,2,27,Suburb,5625.3,501127.67
302,2887.9,6,24,Suburb,7501.8,621295.32
303,1920.7,4,73,Rural,2703.2,346356.32
304,1724.5,2,59,Downtown,4170.1,384965.23
305,2818.6,1,15,Rural,7844.4,506129.35
306,2089.5,5,30,Suburb,2623.0,399207.14
307,1383.7,6,23,Rural,4093.1,303867.2
308,966.3,2,66,Downtown,1264.8,196165.92
309,1433.3,2,46,Suburb,3598.0,276542.65
310,3145.5,1,12,Downtown,6797.1,595806.76
311,1431.0,6,79,Downtown,2517.0,392093.87
312,3573.1,4,3,Suburb,6546.0,774986.31
313,1794.9,5,26,Suburb,2269.6,405613.52
314,1663.3,3,37,Suburb,4265.6,312031.08
315,2610.3,3,13,Downtown,3234.8,579236.52
316,1645.6,3,2,Suburb,4821.2,388634.61
317,2029.7,4,9,Rural,5980.8,427076.75
318,1156.9,1,38,Downtown,3128.8,260131.22
319,1031.0,2,79,Suburb,1473.0,205371.04
320,1342.9,2,5,Rural,3112.6,284849.46
321,1934.0,1,20,Suburb,5147.8,390485.07
322,1388.2,3,17,Suburb,2677.1,294234.1
323,588.8,3,59,Downtown,1155.7,182288.03
324,2090.3,2,4,Downtown,5492.2,470349.73
325,1696.0,1,5,Rural,2099.0,321438.6
326,1625.4,4,48,Suburb,3048.7,312440.04
327,1420.2,2,34,Downtown,3860.6,375032.42
328,411.5,5,22,Rural,1086.7,118773.52
329,2776.0,1,46,Rural,7959.9,479535.07
330,1502.2,1,57,Suburb,4146.8,273661.59
331,2122.4,4,58,Downtown,3311.9,480151.63
332,2655.3,5,43,Suburb,7608.6,493094.11
333,2493.2,5,50,Rural,4106.8,502724.14
334,1922.8,4,61,Downtown,4213.0,435274.28
335,1804.0,6,33,Rural,4035.3,355120.98
336,1987.0,3,22,Suburb,,380300.78
337,2356.9,2,13,Suburb,5462.5,450956.78
338,2155.0,5,70,Suburb,3477.1,401255.17
339,1523.4,6,33,Downtown,4210.3,410191.53
340,2075.8,4,29,Suburb,3046.6,404970.23
341,2031.3,4,37,Suburb,5156.8,416690.17
342,2226.6,5,26,Downtown,2688.0,534727.95
343,1925.0,1,25,Downtown,5410.9,410103.53
344,2642.4,1,3,Downtown,7348.8,639542.44
345,1922.9,3,11,Suburb,,402180.78
346,2346.1,1,76,Suburb,5148.8,408447.99
347,1825.9,6,70,Downtown,3780.4,433935.56
348,1445.4,6,41,Suburb,4159.6,324013.21
349,1216.5,5,15,Downtown,2097.5,377337.68
350,1701.2,6,7,Rural,2275.5,413306.59
351,2129.1,5,30,Downtown,4076.6,507322.22
352,2579.7,1,25,Downtown,4532.5,523112.5
353,1744.0,5,36,Suburb,2915.7,389739.69
354,1479.1,1,74,Suburb,3841.7,184940.36
355,1486.3,6,13,Rural,2810.1,335202.12
356,2593.8,4,47,Suburb,3769.3,500339.68
357,1864.5,4,62,Suburb,2858.9,369791.14
358,1491.1,1,51,Suburb,4123.7,225545.7
359,2255.0,1,12,Suburb,4590.1,427865.23
360,986.1,3,35,Suburb,1541.3,186376.48
361,1871.1,1,66,Suburb,3853.2,307236.44
362,1773.0,4,36,Downtown,2477.3,443783.42
363,1716.7,4,2,Rural,3542.9,352422.28
364,1089.1,4,49,Suburb,1775.2,216006.35
365,2403.7,2,1,Suburb,4543.3,521143.55
366,2835.0,4,27,Downtown,8153.2,626888.55
367,984.5,6,41,Suburb,2039.1,188679.21
368,1873.4,4,70,Suburb,4737.6,325724.11
369,2196.5,6,42,Suburb,3921.0,473308.78
370,3189.0,3,63,Suburb,4931.7,597723.66
371,1543.3,4,36,Rural,2816.5,301768.52
372,1215.9,2,26,Rural,1923.0,228879.41
373,1796.9,4,73,Suburb,,312965.29
374,3038.8,2,49,Rural,7329.6,526302.34
375,1842.4,1,60,Suburb,3089.9,288753.52
376,1962.6,6,22,Suburb,4839.7,414243.72
377,2891.9,5,65,Rural,6137.8,498688.47
378,485.7,5,26,Downtown,1277.4,192594.74
379,466.6,3,62,Suburb,1199.6,86463.39
380,2358.0,2,14,Suburb,6827.4,461222.44
381,2276.4,5,65,Rural,5544.0,390688.53
382,946.8,4,33,Downtown,1244.9,310081.52
383,2118.3,3,64,Downtown,3851.4,438559.83
384,1825.2,4,50,Rural,3494.0,375386.04
385,1933.5,5,71,Suburb,5357.3,403131.13
386,1305.0,3,68,Downtown,3602.2,267471.26
387,1521.0,1,60,Suburb,2419.6,287512.55
388,1260.3,6,43,Suburb,3549.7,252685.26
389,1831.3,6,14,Suburb,3562.0,460086.38
390,1657.7,1,65,Downtown,3998.2,351958.02
391,2835.0,5,41,Downtown,6814.5,596942.09
392,2186.3,2,44,Rural,4319.3,318315.51
393,831.6,3,56,Suburb,1839.3,155053.95
394,2055.7,6,1,Rural,4210.3,404507.63
395,2681.0,3,40,Suburb,6512.3,543495.21
396,1973.1,2,15,Downtown,5302.9,421889.42
397,2468.1,2,40,Downtown,5372.2,516447.86
398,1778.9,3,66,Suburb,4945.7,340807.63
399,2233.4,4,25,Suburb,4699.6,458229.33
400,1224.6,3,22,Rural,1587.8,244200.39
401,2283.8,6,13,Suburb,5191.2,494845.77
402,951.8,6,6,Downtown,1697.4,348119.48
403,2595.0,3,72,Downtown,6559.2,502794.82
404,868.8,5,5,Rural,1486.8,227803.58
405,498.5,2,29,Suburb,1176.3,84585.88
406,2126.3,2,27,Suburb,3288.2,417475.11
407,1693.8,3,2,Rural,4009.5,307766.04
408,1870.1,4,57,Suburb,4269.3,357807.92
409,2063.1,3,28,Suburb,,428414.63
410,1783.2,4,21,Suburb,2244.6,414230.05
411,1255.5,3,79,Suburb,2525.0,171207.96
412,1929.9,2,54,Suburb,4905.8,331584.1
413,2013.7,4,1,Suburb,4036.3,412635.36
414,2103.1,6,41,Suburb,3629.9,477055.89
415,3022.2,5,79,Downtown,7724.3,598905.44
416,1347.7,4,54,Downtown,3260.5,351335.91
417,1841.3,5,15,Suburb,3677.7,393590.61
418,2144.4,4,52,Suburb,5822.3,377259.26
419,1524.9,1,2,Downtown,3694.3,377600.26
420,1062.5,2,32,Rural,3177.8,154857.64
421,1450.8,6,79,Suburb,3459.2,312034.19
422,2454.9,2,50,Suburb,7213.7,473549.94
423,1634.2,3,20,Rural,4129.6,348722.58
424,2176.5,3,1,Suburb,4375.9,428656.54
425,1348.1,3,77,Suburb,1639.3,282587.83
426,2074.5,6,2,Downtown,5237.5,560057.48
427,1384.2,4,20,Downtown,2729.3,319406.77
428,1281.6,1,61,Suburb,3529.9,278701.74
429,1869.1,6,28,Suburb,5217.6,459497.78
430,1832.0,3,17,Suburb,4946.0,351522.34
431,2706.8,1,78,Suburb,5918.4,467820.55
432,800.3,6,19,Downtown,1870.7,251593.8
433,2113.2,6,20,Rural,4975.6,430363.0
434,2791.8,4,79,Suburb,5592.7,514249.37
435,2638.0,5,65,Suburb,5073.9,523134.34
436,1563.7,4,49,Downtown,4629.9,352294.6
437,1380.6,4,67,Suburb,1659.7,265144.11
438,1495.4,6,69,Suburb,4130.3,283015.81
439,1985.1,3,31,Downtown,2850.5,465677.0
440,1916.5,1,49,Downtown,2687.1,420906.02
441,2015.1,4,9,Downtown,,494292.4
442,2168.3,2,58,Suburb,2660.1,423537.43
443,1141.5,5,64,Rural,2728.4,228428.98
444,1105.8,6,79,Suburb,1806.7,239891.3
445,1045.1,3,12,Suburb,2869.0,275103.95
446,974.0,4,12,Rural,2159.0,177824.94
447,1738.9,6,29,Suburb,2805.5,387560.17
448,1991.6,2,19,Rural,4482.6,316035.01
449,3358.3,4,16,Suburb,8459.9,667256.54
450,2128.2,3,35,Downtown,5804.2,464238.86
451,1810.5,3,71,Suburb,2235.9,350511.84
452,2673.3,2,4,Downtown,7658.5,579025.8
453,1348.0,6,22,Suburb,3620.1,306798.33
454,2008.9,2,34,Downtown,3251.8,442043.63
455,2399.2,1,43,Suburb,5478.9,431167.36
456,2284.0,4,30,Suburb,4895.6,476027.77
457,2048.5,6,53,Suburb,4692.5,398522.19
458,1585.4,3,8,Suburb,2599.5,302330.05
459,1035.8,3,21,Suburb,2964.1,189174.84
460,1705.6,5,66,Downtown,4215.0,429133.42
461,1433.5,1,45,Rural,3182.4,194282.57
462,2223.9,2,77,Rural,6462.6,341833.07
463,1716.1,5,57,Suburb,3203.9,316674.72
464,2145.6,3,52,Suburb,4651.5,429466.68
465,809.9,2,78,Suburb,1894.4,113625.18
466,2398.7,3,50,Downtown,,546430.35
467,1275.5,3,34,Downtown,2299.8,305158.62
468,838.8,3,2,Suburb,1904.9,223086.13
469,953.2,4,27,Downtown,1878.5,305950.05
470,1413.5,3,24,Suburb,3545.7,325310.64
471,2491.2,6,27,Suburb,4617.9,492781.96
472,2238.8,3,54,Suburb,4500.7,409923.13
473,1078.0,5,44,Rural,2437.0,211937.16
474,1853.2,5,73,Downtown,2842.6,366946.05
475,1735.4,3,25,Downtown,,435313.05
476,835.5,3,59,Suburb,2324.1,173832.33
477,1190.5,4,32,Suburb,2918.4,277344.0
478,546.6,1,32,Rural,1148.3,50000.0
479,1264.9,4,51,Downtown,,324639.12
480,400.0,3,48,Downtown,893.8,166657.85
481,1310.7,1,58,Suburb,2545.0,254028.29
482,1224.2,3,57,Downtown,2297.1,280384.77
483,1309.8,3,57,Downtown,3262.2,329012.57
484,1293.6,5,73,Downtown,3822.2,371334.0
485,2511.1,2,52,Suburb,5356.1,446951.64
486,1585.8,2,27,Rural,2433.4,273556.21
487,1948.3,1,11,Suburb,4718.5,373637.48
488,2264.1,6,54,Suburb,4554.7,419436.42
489,2353.7,2,53,Downtown,6429.6,479729.25
490,2218.2,1,79,Suburb,5674.5,415013.0
491,1459.6,1,17,Downtown,2687.5,323546.33
492,1125.4,4,17,Downtown,3018.1,319771.0
493,1321.6,2,67,Suburb,2856.1,264582.76
494,1509.5,5,67,Suburb,3732.3,316940.61
495,1803.0,2,71,Suburb,2362.4,320838.61
496,1747.2,4,26,Downtown,2969.9,419715.94
497,2473.4,4,22,Downtown,6777.9,560115.45
498,1736.6,6,37,Rural,2150.9,351497.23
499,2901.3,3,76,Suburb,7070.3,538780.63
500,2432.7,3,25,Downtown,6972.9,543463.28
501,1503.8,1,50,Rural,4085.9,263638.32
502,2328.6,1,24,Downtown,3433.3,447818.0
503,400.0,6,58,Suburb,571.6,144428.74
504,2646.0,5,15,Suburb,4965.4,538080.42
505,2052.7,5,58,Rural,2685.5,377563.56
506,2043.8,4,18,Rural,4712.4,387911.62
507,765.9,5,53,Rural,1826.7,167886.63
508,3347.7,2,5,Suburb,8127.0,648783.57
509,1643.6,4,10,Rural,4414.5,352123.92
510,1711.9,4,19,Downtown,3039.9,406747.85
511,2491.0,5,47,Suburb,3056.0,501311.24
512,1680.8,1,28,Suburb,2558.7,353304.83
513,1277.6,2,78,Suburb,3422.7,244589.85
514,2204.1,3,48,Rural,3232.7,379679.7
515,1177.5,5,66,Downtown,1638.1,306494.45
516,2255.8,2,66,Suburb,5497.2,390430.13
517,1884.3,3,36,Suburb,4327.6,369487.25
518,2491.7,2,56,Downtown,7101.3,512592.77
519,1056.5,2,78,Suburb,2811.0,207496.33
520,2564.3,5,37,Rural,7127.0,504420.6
521,1980.2,2,72,Downtown,5591.2,446005.5
522,3011.5,4,34,Rural,3681.6,601984.86
523,1400.1,5,35,Suburb,4074.2,275556.63
524,2939.5,3,32,Suburb,4921.5,574893.53
525,2231.7,3,67,Downtown,3053.2,455145.0
526,2284.1,3,64,Suburb,6452.2,374944.92
527,1353.5,6,21,Suburb,2349.3,296960.1
528,2142.4,3,64,Suburb,3127.0,380213.8
529,2211.0,6,11,Downtown,4906.9,596346.55
530,1290.0,3,13,Suburb,3467.6,288978.62
531,1089.9,6,40,Rural,1944.4,227123.03
532,1325.5,3,48,Rural,3634.0,230682.33
533,2697.3,3,64,Rural,7938.6,443307.12
534,1896.0,1,39,Downtown,4098.6,413042.65
535,2374.7,4,55,Rural,3836.3,423531.36
536,1977.2,1,77,Downtown,3435.3,343722.73
537,1871.3,4,24,Downtown,2813.4,438685.18
538,1936.2,1,62,Suburb,3862.3,427460.98
539,1547.9,1,39,Rural,2963.9,273045.69
540,2549.1,4,51,Downtown,4395.1,548384.13
541,1906.1,5,61,Downtown,3673.7,456702.8
542,1937.9,3,59,Suburb,3239.4,335054.19
543,950.6,5,58,Rural,2609.1,181538.55
544,1989.4,4,73,Suburb,5667.3,394717.15
545,1385.7,2,75,Downtown,2747.4,251843.02
546,1492.5,2,36,Suburb,2103.1,270177.45
