customer_id,tenure_months,monthly_charges,total_charges,contract_type,tech_support,city,signup_date,region_code,satisfaction,notes,churned
CUS000042,61,$58.57,3572.77,One year,no,City_22,2023-08-09,APAC,,free text note number 42 about this particular customer,0
CUS000043,12,$52.34,628.08,Month-to-month,Yes,City_19,2021-04-09,APAC,3.0,free text note number 43 about this particular customer,1
CUS000044,61,$65.29,3982.69,Two year,Yes,City_47,2023-10-21,APAC,1.0,free text note number 44 about this particular customer,0
CUS000045,44,$99.73,4388.12,Month-to-month,No,City_39,2022-01-31,APAC,3.0,free text note number 45 about this particular customer,1
CUS000046,9,$35.32,317.88,Month-to-month,No,City_74,2021-02-01,APAC,3.0,free text note number 46 about this particular customer,1
CUS000047,4,$99.80,399.2,Month-to-month,no,City_22,2023-12-19,APAC,2.0,free text note number 47 about this particular customer,1
CUS000048,32,$54.02,1728.64,Month-to-month,No,City_21,2020-09-17,APAC,4.0,free text note number 48 about this particular customer,1
CUS000049,3,$42.48,127.44,One year,no,City_66,2020-04-28,APAC,4.0,free text note number 49 about this particular customer,1
CUS000050,11,$101.50,1116.5,Two year,Yes,City_62,2021-01-13,APAC,4.0,free text note number 50 about this particular customer,1
CUS000051,37,$67.58,2500.46,Month-to-month,No,City_28,2022-06-21,APAC,5.0,free text note number 51 about this particular customer,1
CUS000052,69,$37.49,2586.81,Month-to-month, Yes ,City_41,2023-02-05,APAC,4.0,free text note number 52 about this particular customer,1
CUS000053,34,$61.03,2075.02,One year,no,City_49,2023-10-11,APAC,5.0,free text note number 53 about this particular customer,0
CUS000054,58,$93.28,5410.24,Month-to-month,No,City_67,2022-10-03,APAC,5.0,free text note number 54 about this particular customer,1
CUS000055,66,$99.80,,Month-to-month,No,City_73,2020-08-05,APAC,4.0,free text note number 55 about this particular customer,1
CUS000056,59,$59.32,3499.88,Two year,No,City_37,2022-03-01,APAC,4.0,free text note number 56 about this particular customer,1
CUS000057,45,$80.16,3607.2,Two year,No,City_19,2022-11-22,APAC,3.0,free text note number 57 about this particular customer,0
CUS000058,32,$87.85,2811.2,Two year,No,City_6,2023-07-25,APAC,3.0,free text note number 58 about this particular customer,1
CUS000059,37,$53.88,1993.56,One year, Yes ,City_76,2022-11-02,APAC,4.0,free text note number 59 about this particular customer,0
CUS000060,19,$78.88,1498.72,Month-to-month,no,City_61,2023-04-20,APAC,4.0,free text note number 60 about this particular customer,1
CUS000061,36,$69.20,2491.2,Month-to-month,No,City_38,2021-06-24,APAC,3.0,free text note number 61 about this particular customer,1
CUS000062,27,$56.60,1528.2,One year,No,City_65,2021-08-12,APAC,4.0,free text note number 62 about this particular customer,0
CUS000063,18,$57.70,1038.6,Two year, Yes ,City_51,2022-03-14,APAC,4.0,free text note number 63 about this particular customer,0
CUS000064,71,$71.68,5089.28,Month-to-month,No,City_42,2020-12-07,APAC,2.0,free text note number 64 about this particular customer,0
CUS000065,1,$70.75,70.75,Month-to-month,no,City_21,2023-11-03,APAC,4.0,free text note number 65 about this particular customer,1
CUS000066,7,$55.86,,Month-to-month,no,City_14,2023-01-02,APAC,3.0,free text note number 66 about this particular customer,1
CUS000067,14,$59.35,,Month-to-month,no,City_55,2021-12-02,APAC,,free text note number 67 about this particular customer,1
CUS000068,69,$97.83,6750.27,Month-to-month,Yes,City_10,2021-09-20,APAC,5.0,free text note number 68 about this particular customer,1
CUS000069,50,$75.35,,Month-to-month, Yes ,City_57,2021-11-15,APAC,2.0,free text note number 69 about this particular customer,1
CUS000070,63,$92.13,5804.19,N/A, Yes ,City_30,2020-02-01,APAC,3.0,free text note number 70 about this particular customer,1
CUS000071,15,$100.05,1500.75,Month-to-month,Yes,City_47,2022-04-26,APAC,4.0,free text note number 71 about this particular customer,1
CUS000072,52,$84.72,4405.44,One year,No,City_2,2023-07-26,APAC,2.0,free text note number 72 about this particular customer,0
CUS000073,27,$126.77,3422.79,Month-to-month,Yes,City_69,2020-02-17,APAC,5.0,free text note number 73 about this particular customer,1
CUS000074,35,$49.37,1727.95,One year,No,City_52,2024-01-02,APAC,4.0,free text note number 74 about this particular customer,1
CUS000075,1,$90.21,90.21,One year,no,City_37,2023-04-29,APAC,,free text note number 75 about this particular customer,1
CUS000076,44,$62.05,2730.2,Two year,no,City_41,2020-08-12,APAC,3.0,free text note number 76 about this particular customer,0
CUS000077,59,$116.39,6867.01,N/A,no,City_1,2020-03-17,APAC,4.0,free text note number 77 about this particular customer,1
CUS000078,48,$112.51,5400.48,Two year,Yes,City_68,2022-12-19,APAC,4.0,free text note number 78 about this particular customer,1
CUS000079,11,$21.14,232.54,Month-to-month,Yes,City_73,2024-01-08,APAC,4.0,free text note number 79 about this particular customer,1
CUS000080,38,$45.78,1739.64,N/A,no,City_77,2021-06-24,APAC,,free text note number 80 about this particular customer,1
CUS000081,19,$86.61,1645.59,Two year,Yes,City_45,2023-12-26,APAC,3.0,free text note number 81 about this particular customer,1
CUS000082,69,$89.75,6192.75,Month-to-month,Yes,City_71,2024-02-06,APAC,2.0,free text note number 82 about this particular customer,1
CUS000083,63,$88.41,5569.83,Month-to-month,Yes,City_49,2023-05-12,APAC,5.0,free text note number 83 about this particular customer,1
CUS000084,14,$68.23,955.22,One year,no,City_79,2023-09-26,APAC,2.0,free text note number 84 about this particular customer,1
CUS000085,37,$81.38,3011.06,Month-to-month,No,City_47,2023-09-05,APAC,4.0,free text note number 85 about this particular customer,1
CUS000086,67,$86.33,5784.11,Month-to-month,no,City_27,2020-01-06,APAC,,free text note number 86 about this particular customer,1
CUS000087,61,$68.05,4151.05,Month-to-month,No,City_3,2022-07-12,APAC,5.0,free text note number 87 about this particular customer,1
CUS000088,51,$95.68,4879.68,Month-to-month,no,City_9,2020-02-02,APAC,4.0,free text note number 88 about this particular customer,1
CUS000089,46,$15.00,690.0,One year,no,City_23,2021-04-03,APAC,1.0,free text note number 89 about this particular customer,0
CUS000090,3,$85.84,257.52,Two year,no,City_56,2020-07-07,APAC,,free text note number 90 about this particular customer,1
CUS000091,53,$44.15,2339.95,Two year,Yes,City_7,2022-06-24,APAC,3.0,free text note number 91 about this particular customer,0
CUS000092,34,$93.97,3194.98,Month-to-month,No,City_12,2023-01-13,APAC,3.0,free text note number 92 about this particular customer,1
CUS000093,7,$64.28,449.96,Month-to-month,No,City_51,2022-10-15,APAC,1.0,free text note number 93 about this particular customer,1
CUS000094,18,$47.78,860.04,Month-to-month,No,City_57,2020-12-25,APAC,2.0,free text note number 94 about this particular customer,1
CUS000095,39,$79.35,3094.65,Month-to-month,no,City_68,2020-07-31,APAC,1.0,free text note number 95 about this particular customer,1
CUS000096,52,$47.22,2455.44,Month-to-month,no,City_54,2020-03-31,APAC,4.0,free text note number 96 about this particular customer,1
CUS000097,37,$47.18,1745.66,One year,No,City_52,2023-03-08,APAC,3.0,free text note number 97 about this particular customer,1
CUS000098,44,$30.82,1356.08,One year,Yes,City_30,2022-03-21,APAC,3.0,free text note number 98 about this particular customer,0
CUS000099,62,$69.33,4298.46,One year,no,City_65,2021-03-31,APAC,5.0,free text note number 99 about this particular customer,0
CUS000100,49,$82.42,4038.58,One year,No,City_51,2021-04-14,APAC,1.0,free text note number 100 about this particular customer,1
CUS000101,26,$95.58,2485.08,One year,Yes,City_26,2022-02-07,APAC,3.0,free text note number 101 about this particular customer,1
CUS000102,46,$66.46,3057.16,One year,Yes,City_14,2021-07-20,APAC,5.0,free text note number 102 about this particular customer,0
CUS000103,43,$96.20,4136.6,Two year,Yes,City_2,2021-02-03,APAC,5.0,free text note number 103 about this particular customer,1
CUS000104,8,$70.45,563.6,Two year,Yes,City_75,2021-05-07,APAC,4.0,free text note number 104 about this particular customer,1
CUS000105,5,$67.67,338.35,Two year,Yes,City_32,2021-02-27,APAC,4.0,free text note number 105 about this particular customer,1
CUS000106,47,$84.34,,Two year,Yes,City_73,2023-12-17,APAC,2.0,free text note number 106 about this particular customer,1
CUS000107,28,$96.46,2700.88,Month-to-month,Yes,City_13,2023-08-07,APAC,3.0,free text note number 107 about this particular customer,1
CUS000108,43,$61.46,2642.78,Month-to-month,Yes,City_11,2022-10-28,APAC,4.0,free text note number 108 about this particular customer,1
CUS000109,23,$63.91,1469.93,One year,No,City_24,2023-03-01,APAC,5.0,free text note number 109 about this particular customer,1
CUS000110,17,$65.98,1121.66,Month-to-month,Yes,City_16,2020-04-28,APAC,4.0,free text note number 110 about this particular customer,1
CUS000111,11,$72.07,792.77,One year,Yes,City_19,2020-04-03,APAC,5.0,free text note number 111 about this particular customer,1
CUS000112,28,$47.49,1329.72,Month-to-month,No,City_6,2020-09-10,APAC,4.0,free text note number 112 about this particular customer,1
CUS000113,58,$95.70,5550.6,Month-to-month,no,City_14,2023-03-02,APAC,5.0,free text note number 113 about this particular customer,1
CUS000114,29,$59.99,1739.71,Month-to-month,no,City_10,2023-05-26,APAC,,free text note number 114 about this particular customer,1
CUS000115,27,$81.56,2202.12,Month-to-month,No,City_55,2023-10-19,APAC,2.0,free text note number 115 about this particular customer,1
CUS000116,41,$49.36,2023.76,Month-to-month,Yes,City_68,2020-05-12,APAC,2.0,free text note number 116 about this particular customer,1
CUS000117,70,$78.97,5527.9,Month-to-month,Yes,City_47,2022-11-21,APAC,,free text note number 117 about this particular customer,1
CUS000118,28,$79.79,2234.12,Two year,No,City_43,2020-01-29,APAC,3.0,free text note number 118 about this particular customer,1
CUS000119,42,$59.48,2498.16,Month-to-month,No,City_65,2022-11-04,APAC,3.0,free text note number 119 about this particular customer,1
CUS000120,32,$120.52,3856.64,Month-to-month,No,City_71,2021-02-21,APAC,3.0,free text note number 120 about this particular customer,1
CUS000121,43,$79.28,3409.04,Two year,no,City_78,2021-01-31,APAC,5.0,free text note number 121 about this particular customer,1
CUS000122,32,$114.42,3661.44,One year,No,City_73,2020-08-09,APAC,1.0,free text note number 122 about this particular customer,1
CUS000123,46,$93.98,4323.08,Month-to-month,no,City_19,2022-11-14,APAC,3.0,free text note number 123 about this particular customer,1
CUS000124,39,$53.44,,Month-to-month,Yes,City_37,2022-11-06,APAC,3.0,free text note number 124 about this particular customer,1
CUS000125,49,$60.45,2962.05,One year,Yes,City_75,2021-07-22,APAC,1.0,free text note number 125 about this particular customer,1
CUS000126,68,$80.90,5501.2,Month-to-month,Yes,City_76,2020-10-16,APAC,3.0,free text note number 126 about this particular customer,1
CUS000127,11,$71.53,786.83,Month-to-month,No,City_61,2023-10-16,APAC,5.0,free text note number 127 about this particular customer,1
CUS000128,40,$71.24,2849.6,One year,No,City_62,2021-03-20,APAC,1.0,free text note number 128 about this particular customer,1
CUS000129,32,$62.84,2010.88,Month-to-month,Yes,City_45,2022-11-22,APAC,3.0,free text note number 129 about this particular customer,1
CUS000130,26,$24.79,644.54,Month-to-month,Yes,City_77,2021-06-26,APAC,4.0,free text note number 130 about this particular customer,1
CUS000131,18,$64.36,,One year,No,City_77,2021-04-29,APAC,4.0,free text note number 131 about this particular customer,1
CUS000132,4,$15.00,60.0,One year,Yes,City_58,2021-09-25,APAC,5.0,free text note number 132 about this particular customer,1
CUS000133,29,$79.30,2299.7,Month-to-month,Yes,City_40,2023-08-18,APAC,3.0,free text note number 133 about this particular customer,1
CUS000134,59,$51.85,3059.15,Month-to-month,No,City_1,2021-04-29,APAC,2.0,free text note number 134 about this particular customer,1
CUS000135,7,$52.11,364.77,Month-to-month, Yes ,City_2,2023-03-07,APAC,3.0,free text note number 135 about this particular customer,1
CUS000136,29,$64.52,1871.08,Two year,No,City_7,2023-04-07,APAC,5.0,free text note number 136 about this particular customer,1
CUS000137,69,$76.82,,Month-to-month,no,City_9,2020-10-28,APAC,3.0,free text note number 137 about this particular customer,1
CUS000138,68,$34.20,2325.6,Month-to-month,No,City_23,2022-05-30,APAC,3.0,free text note number 138 about this particular customer,1
CUS000139,16,$26.28,420.48,Month-to-month,No,City_25,2020-11-18,APAC,5.0,free text note number 139 about this particular customer,1
CUS000140,1,$43.35,43.35,One year,Yes,City_21,2020-03-21,APAC,4.0,free text note number 140 about this particular customer,1
CUS000141,48,$18.96,910.08,Two year,Yes,City_55,2020-01-20,APAC,2.0,free text note number 141 about this particular customer,0
CUS000142,2,$45.83,91.66,Month-to-month,no,City_18,2021-10-05,APAC,3.0,free text note number 142 about this particular customer,1
CUS000143,22,$109.77,2414.94,Two year,No,City_45,2023-02-28,APAC,,free text note number 143 about this particular customer,1
CUS000144,36,$43.59,1569.24,One year,Yes,City_62,2020-12-21,APAC,1.0,free text note number 144 about this particular customer,1
CUS000145,63,$86.29,5436.27,Month-to-month, Yes ,City_54,2020-05-08,APAC,5.0,free text note number 145 about this particular customer,1
CUS000146,7,$35.71,249.97,Two year,no,City_4,2021-10-08,APAC,3.0,free text note number 146 about this particular customer,1
CUS000147,48,$77.48,3719.04,Month-to-month,Yes,City_1,2021-02-17,APAC,4.0,free text note number 147 about this particular customer,1
CUS000148,38,$62.01,2356.38,One year,No,City_43,2020-10-18,APAC,2.0,free text note number 148 about this particular customer,1
CUS000149,10,$68.50,685.0,Month-to-month,No,City_19,2023-01-09,APAC,4.0,free text note number 149 about this particular customer,1
CUS000150,61,$84.22,5137.42,Month-to-month,Yes,City_0,2020-04-01,APAC,5.0,free text note number 150 about this particular customer,1
CUS000151,61,$113.91,6948.51,Month-to-month,No,City_44,2021-04-03,APAC,1.0,free text note number 151 about this particular customer,1
CUS000152,35,$74.87,2620.45,Two year,Yes,City_14,2023-06-17,APAC,,free text note number 152 about this particular customer,0
CUS000153,68,$73.11,4971.48,Two year,no,City_52,2021-03-04,APAC,2.0,free text note number 153 about this particular customer,0
CUS000154,44,$45.67,2009.48,Month-to-month,Yes,City_46,2021-09-15,APAC,1.0,free text note number 154 about this particular customer,1
CUS000155,65,$84.58,,Month-to-month, Yes ,City_34,2020-04-09,APAC,5.0,free text note number 155 about this particular customer,1
CUS000156,69,$63.85,4405.65,Month-to-month,Yes,City_37,2020-08-17,APAC,4.0,free text note number 156 about this particular customer,1
CUS000157,41,$90.80,3722.8,Month-to-month,No,City_17,2020-03-16,APAC,1.0,free text note number 157 about this particular customer,1
CUS000158,20,$68.91,1378.2,Two year,Yes,City_10,2022-02-05,APAC,4.0,free text note number 158 about this particular customer,1
CUS000159,11,$113.52,1248.72,One year, Yes ,City_24,2022-05-07,APAC,4.0,free text note number 159 about this particular customer,1
CUS000160,40,$20.43,,Month-to-month,no,City_18,2021-10-16,APAC,,free text note number 160 about this particular customer,1
CUS000161,14,$62.59,876.26,Month-to-month,Yes,City_60,2020-07-26,APAC,,free text note number 161 about this particular customer,1
CUS000162,54,$92.04,4970.16,One year,No,City_64,2020-11-22,APAC,5.0,free text note number 162 about this particular customer,1
CUS000163,66,$61.23,4041.18,Month-to-month,No,City_57,2023-12-16,APAC,4.0,free text note number 163 about this particular customer,1
CUS000164,18,$50.20,903.6,Two year,No,City_28,2023-01-11,APAC,5.0,free text note number 164 about this particular customer,0
CUS000165,40,$63.35,2534.0,One year,No,City_19,2020-02-08,APAC,4.0,free text note number 165 about this particular customer,1
CUS000166,4,$35.50,142.0,N/A, Yes ,City_78,2024-01-23,APAC,3.0,free text note number 166 about this particular customer,1
CUS000167,13,$72.97,948.61,One year,Yes,City_76,2021-04-18,APAC,4.0,free text note number 167 about this particular customer,1
CUS000168,27,$131.01,3537.27,Month-to-month,no,City_65,2021-12-12,APAC,3.0,free text note number 168 about this particular customer,1
CUS000169,63,$98.63,6213.69,Month-to-month,Yes,City_3,2020-10-02,APAC,3.0,free text note number 169 about this particular customer,1
CUS000170,69,$42.27,2916.63,Month-to-month,No,City_44,2021-12-30,APAC,1.0,free text note number 170 about this particular customer,0
CUS000171,46,$48.17,2215.82,Month-to-month,No,City_18,2023-09-10,APAC,2.0,free text note number 171 about this particular customer,1
CUS000172,42,$59.88,2514.96,Month-to-month,No,City_8,2020-10-05,APAC,4.0,free text note number 172 about this particular customer,1
CUS000173,41,$95.11,3899.51,Month-to-month,No,City_35,2023-01-31,APAC,5.0,free text note number 173 about this particular customer,1
CUS000174,5,$49.46,247.3,Two year,No,City_74,2023-07-03,APAC,5.0,free text note number 174 about this particular customer,1
CUS000175,27,$52.74,1423.98,Month-to-month,Yes,City_64,2020-06-16,APAC,2.0,free text note number 175 about this particular customer,1
CUS000176,70,$92.12,6448.4,Month-to-month,Yes,City_23,2020-10-22,APAC,4.0,free text note number 176 about this particular customer,1
CUS000177,30,$91.62,2748.6,Two year, Yes ,City_45,2020-03-24,APAC,3.0,free text note number 177 about this particular customer,1
CUS000178,16,$60.65,970.4,Two year,Yes,City_76,2022-07-25,APAC,2.0,free text note number 178 about this particular customer,1
CUS000179,18,$42.06,757.08,Two year,No,City_54,2020-05-04,APAC,3.0,free text note number 179 about this particular customer,0
CUS000180,51,$31.26,1594.26,One year,Yes,City_31,2020-11-14,APAC,4.0,free text note number 180 about this particular customer,1
CUS000181,3,$52.53,157.59,One year,No,City_76,2023-01-14,APAC,,free text note number 181 about this particular customer,1
CUS000182,69,$15.00,1035.0,One year, Yes ,City_38,2024-02-04,APAC,1.0,free text note number 182 about this particular customer,0
CUS000183,63,$88.75,5591.25,One year,No,City_29,2023-01-25,APAC,3.0,free text note number 183 about this particular customer,0
CUS000184,41,$54.25,2224.25,Month-to-month,No,City_51,2023-01-12,APAC,4.0,free text note number 184 about this particular customer,1
CUS000185,34,$82.03,2789.02,Month-to-month,No,City_14,2022-08-07,APAC,3.0,free text note number 185 about this particular customer,1
CUS000186,55,$116.71,6419.05,Month-to-month,Yes,City_5,2021-11-16,APAC,3.0,free text note number 186 about this particular customer,1
CUS000187,39,$99.32,3873.48,Month-to-month,Yes,City_32,2022-01-03,APAC,5.0,free text note number 187 about this particular customer,1
CUS000188,34,$41.22,1401.48,Month-to-month,Yes,City_7,2022-07-18,APAC,1.0,free text note number 188 about this particular customer,1
CUS000189,23,$91.73,2109.79,One year,No,City_45,2021-11-25,APAC,,free text note number 189 about this particular customer,1
CUS000190,32,$98.95,3166.4,One year, Yes ,City_60,2020-03-22,APAC,3.0,free text note number 190 about this particular customer,1
CUS000191,54,$51.34,2772.36,Month-to-month,Yes,City_10,2022-06-12,APAC,5.0,free text note number 191 about this particular customer,1
CUS000192,4,$46.17,,N/A,No,City_9,2020-10-30,APAC,5.0,free text note number 192 about this particular customer,0
CUS000193,2,$67.26,134.52,Month-to-month,Yes,City_3,2020-06-11,APAC,5.0,free text note number 193 about this particular customer,1
CUS000194,52,$29.96,1557.92,Two year,Yes,City_4,2021-07-30,APAC,4.0,free text note number 194 about this particular customer,0
CUS000195,27,$106.77,2882.79,One year,no,City_58,2023-04-06,APAC,4.0,free text note number 195 about this particular customer,1
CUS000196,58,$15.00,870.0,One year,Yes,City_47,2022-02-01,APAC,1.0,free text note number 196 about this particular customer,0
CUS000197,3,$42.33,126.99,Month-to-month,Yes,City_79,2023-03-12,APAC,3.0,free text note number 197 about this particular customer,1
CUS000198,65,$63.26,4111.9,N/A,no,City_12,2022-12-13,APAC,4.0,free text note number 198 about this particular customer,0
CUS000199,9,$64.32,578.88,Month-to-month,Yes,City_74,2022-10-18,APAC,3.0,free text note number 199 about this particular customer,1
CUS000200,30,$74.15,2224.5,Month-to-month,Yes,City_62,2020-11-16,APAC,4.0,free text note number 200 about this particular customer,1
CUS000201,69,$76.79,5298.51,Month-to-month, Yes ,City_30,2020-12-19,APAC,4.0,free text note number 201 about this particular customer,1
CUS000202,8,$64.66,517.28,Month-to-month,Yes,City_50,2022-01-26,APAC,4.0,free text note number 202 about this particular customer,1
CUS000203,47,$98.42,4625.74,Month-to-month,no,City_36,2020-11-18,APAC,5.0,free text note number 203 about this particular customer,1
CUS000204,52,$16.52,859.04,Month-to-month,No,City_2,2023-09-27,APAC,3.0,free text note number 204 about this particular customer,1
CUS000205,31,$70.00,2170.0,Month-to-month,No,City_66,2024-01-10,APAC,4.0,free text note number 205 about this particular customer,1
CUS000206,6,$52.14,312.84,Two year,No,City_5,2023-08-06,APAC,1.0,free text note number 206 about this particular customer,1
CUS000207,38,$73.31,2785.78,One year,No,City_78,2023-11-23,APAC,5.0,free text note number 207 about this particular customer,1
CUS000208,31,$75.52,2341.12,Month-to-month, Yes ,City_68,2022-10-01,APAC,5.0,free text note number 208 about this particular customer,1
CUS000209,62,$47.20,2926.4,One year, Yes ,City_28,2023-01-27,APAC,4.0,free text note number 209 about this particular customer,0
CUS000210,49,$53.98,2645.02,Month-to-month,Yes,City_74,2022-05-29,APAC,4.0,free text note number 210 about this particular customer,1
CUS000211,25,$89.81,,One year,no,City_76,2023-03-23,APAC,4.0,free text note number 211 about this particular customer,1
CUS000212,5,$78.73,,One year,Yes,City_9,2020-08-12,APAC,3.0,free text note number 212 about this particular customer,1
CUS000213,42,$52.99,2225.58,Two year,Yes,City_55,2021-11-18,APAC,5.0,free text note number 213 about this particular customer,1
CUS000214,20,$121.00,2420.0,Month-to-month,Yes,City_18,2022-08-26,APAC,2.0,free text note number 214 about this particular customer,1
CUS000215,49,$127.73,6258.77,Two year,No,City_11,2023-08-08,APAC,4.0,free text note number 215 about this particular customer,1
CUS000216,62,$33.44,,Month-to-month,no,City_17,2022-10-23,APAC,2.0,free text note number 216 about this particular customer,1
CUS000217,26,$77.54,2016.04,Month-to-month,no,City_36,2022-11-01,APAC,4.0,free text note number 217 about this particular customer,1
CUS000218,65,$132.72,8626.8,Month-to-month,no,City_42,2020-07-27,APAC,4.0,free text note number 218 about this particular customer,1
CUS000219,37,$89.60,3315.2,Month-to-month,No,City_0,2021-10-18,APAC,4.0,free text note number 219 about this particular customer,1
CUS000220,38,$75.53,,Two year,Yes,City_52,2021-08-13,APAC,2.0,free text note number 220 about this particular customer,0
CUS000221,55,$64.80,3564.0,Month-to-month,Yes,City_32,2022-10-19,APAC,3.0,free text note number 221 about this particular customer,1
CUS000222,57,$56.47,,Month-to-month,No,City_60,2020-11-03,APAC,4.0,free text note number 222 about this particular customer,1
CUS000223,65,$64.69,4204.85,One year, Yes ,City_41,2020-04-29,APAC,3.0,free text note number 223 about this particular customer,0
CUS000224,71,$56.23,3992.33,Month-to-month,No,City_40,2021-04-28,APAC,4.0,free text note number 224 about this particular customer,1
CUS000225,11,$88.62,974.82,Two year,No,City_63,2021-08-14,APAC,1.0,free text note number 225 about this particular customer,1
CUS000226,30,$60.05,1801.5,Month-to-month, Yes ,City_4,2020-08-06,APAC,3.0,free text note number 226 about this particular customer,1
CUS000227,67,$58.97,3950.99,Two year,no,City_26,2023-06-19,APAC,2.0,free text note number 227 about this particular customer,0
CUS000228,22,$39.95,878.9,Two year,no,City_54,2022-09-06,APAC,4.0,free text note number 228 about this particular customer,0
